Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
elevator with handle on at least 1 side: yes/no|elevator=yes, handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yeshighway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|handle on at least 1 side: yes/no||
elevator with mirror opposite the door|elevator=yes, highway=elevator, material=mirror, room=elevator||Change Elevation|Elevator|mirror (opposite the door)|||EquipmentProperties#door, Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
email address|email=user defined|||||||PlaceInfo#emailAddress
emergency access road|emergency=designated|||||||
emergency button in the Toilet / toilet compartment|amenity=toilets, building=toilets, room=toilet, toilets=yes|emergency=button|Facility daily needs|Toilet / toilet compartment|emergency call|emergency button||Restroom#toilet
emergency call board in the elevator: yes / no / tactile detectable|elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes|emergency_call_board=no, emergency_call_board=tactile_detectabel, emergency_call_board=yes|Change Elevation|Elevator|in-car controls / equipment|emergency call board in the elevator: yes / no / tactile detectable||
emergency call center|room=emergency call center|||||||
emergency call in the toilet / toilet compartment is accessible from the floor: yes / no|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|accessible from the floor: yes / no|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#toilet
emergency call in the toilet / toilet compartment is accessible from the WC sitting: yes / no|amenity=toilets, building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, width=user defined|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|accessible from the WC sitting: yes / no|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#toilet
emergency call in toilet / toilet compartment|amenity=toilets, building=toilets, room=toilet, toilets=yes|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|||Restroom#toilet
emergency exit|exit=emergency||Building characteristics|Doorways|type of entrance/exit door|emergency exit||Entrance#door
emergency light in toilet / toilet compartment|amenity=toilets, building=toilets, light:category=emergency, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|emergency light|||Restroom#toilet
Emergency telephone|emergency=phone|||||||EquipmentProperties#servicePhoneNumber
emergency/alarm boxes|emergency=fire_alarm_box||General help for orientation / Technical assistance|Technology|controls|emergency/alarm boxes||
enclosure|room=enclosure|||||||
end door of platform lift|door=yes, elevator=lift, elevator=yes, highway=elevator, room=elevator,|door=end|Change Elevation|Platform lift|type of door|end||
engine shed|room=engine shed|||||||
entrance door provides inside visual contrast to wall|door=yes, entrance=yes, indoor=yes|high_contrast=yes|Building characteristics|Doorways|material of the entrance door|visual contrast to wall: inside||Entrance#door, EquipmentProperties#isHighContrast
entrance door provides outside visual contrast to wall|door=yes, entrance=yes, indoor=no|high_contrats=no|Building characteristics|Doorways|material of the entrance door|visual contrast to wall: outside||Entrance#door, EquipmentProperties#isHighContrast
entrance has fixed ramp|entrance=yes, highway=access_ramp, ramp=yes|ramp=permanent||||||Entrance#hasFixedRamp
entrance has removable ramp|entrance=yes, removable=yes, ramp=yes|||||||Entrance#hasRemovableRamp
entrance leads directly in the elevator|elevator=entrance|||||||Entrance#door
entrance number|entrance=yes, ref=user defined||General help for orientation / Technical assistance|Plan|entrance number|||
entrance of a building|entrance=yes||Building characteristics|Doorways|type of entrance/exit door|entrance||Entrance#door
entrance of building|entrance=yes||General building information|Formal information|entrance|||Entrance#door
entrance slope angle|entrance=yes, incline:across=10°, incline:across=10%, incline:across=user defined, incline:avg=10°, incline:avg=10%, incline:avg=user defined, incline=10°, incline=10%, incline=user defined|||||||Entrance#slopeAngle, Ground#slopeAngle
entry control point building|building=gatehouse|||||||
equipment category||equipment=user defined||||||EquipmentProperties#category
equipment is working||equipment:condition=excellent, equipment:condition=good, equipment:condition=intermediate||||||EquipmentProperties#isWorking
escalator / moving walkway with unspecified direction|conveying=yes, escalator=yes, escalator=parallel||Change Elevation|Escalators|existence [9]|||
escalator handrail location|conveying=backward, conveying=forward, conveying=reversible, conveying=yes, escalator=parallel, escalator=yes, handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes||Change Elevation|Escalators|handrail location|||
escalator lanes|conveying=backward, conveying=forward, conveying=reversible, conveying=yes, escalator=parallel, escalator=yes||Change Elevation|Escalators|lanes|||
escalator width|conveying=backward, conveying=forward, conveying=reversible, conveying=yes, escalator=parallel, escalator=yes, width=user defined||Change Elevation|Escalators|dimension [7]|width [10]||
escape routes|entrance=emergency, exit=emergency||Building characteristics|Floor (pathway)|escape routes|||EquipmentProperties#alternativeRouteInstructions
establishment for distilling, especially for distilling alcoholic liquors|craft=distillery|||||||
establishment which does not participate in a water refill network|drinking_water:refill=no|||||||AnimalPolicy#suppliesWaterForPets
estimated interpolation way|addr:inclusion=estimate|||||||StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
euro key does not fit|euro_key=no|||||||Door#needsEuroKey
eurokey opens door|centralkey=eurokey|||||||Door#needsEuroKey
even numbers are used to interpolate the house numbers|addr:interpolation=even|||||||StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
even pavement|incline=0°, incline=0%, incline:across=0°, incline:across=0%, surface=user defined, tracktype=grade1|||||||Ground#evenPavement
event Id||ID=user defined||||||PlaceInfo#eventId, PlaceInfo#originalId
every 3rd number is used to interpolate the house numbers|addr:interpolation=3|||||||StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street,StructuredAddress#text
every house number from the address interpolation way results in an exact match with physical houses|addr:inclusion=actual|||||||PlaceInfo#address, StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
existence / too many / not enough signage||sign=not_enough, sign=too_many, sign=yes|General help for orientation / Technical assistance|Signage|existence / too many / not enough|||Restroom#signIcons, WheelchairParking#hasDedicatedSignage
existence of accessibility sign at the accessible aisle|footway=access_aisle|sign=accessibility|Facility daily needs|Services|service desks|existence of accessibility sign at the accessible aisle|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#hasDedicatedSignage, WheelchairParking#length, WheelchairParking#location, WheelchairParking#width
existence of ramp with wheel guards|ramp=yes|wheel_guards=yes|Change in Ground Height|Ramp|wheel guards|existence [2]||
existence of space between two consecutive doors|door=yes, height=user defined, length=user defined, width=user defined||Building characteristics|Doorways|space between two consecutive doors|existence [6]||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront
