Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
non-right angled floor|<ICL>|incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|floor=non-right_angled|Building characteristics|Floor (pathway)|geometry|angled (labyrinthine) - non-right angles||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
pathways max lateral slope|<ICL>|incline:across=10°, incline:across=10%, incline:across=user defined|||||||Pathways#maxLateralSlope
pathways max longitudinal slope|<ICL>|incline=10°, incline=10%, incline=user defined|||||||Pathways#maxLongitudinalSlope
running slope|<ICL>|incline=down, incline=up, incline=user defined, incline:avg=user defined||Change Elevation|Slope|slope [2]|running slope||
slope|<ICL>|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined||Change in Ground Height|Slope|slope [2]|||Entrance#slopeAngle, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of floor (pathway)|<ICL>|highway=corridor, highway=footway, highway=path, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined||Building characteristics|Floor (pathway)|slope [5]|||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of ramp|<ICL>|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, ramp=yes, ramp:wheelchair=yes||Change in Ground Height|Ramp|slope [6]|||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of ramp in percent %|<ICL>|incline=15%,ramp=yes||Building characteristics|Ramp|slope [6]|slope of ramp in %||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
upwards incline|<ICL>|incline=up|||||||
wheelchair accessible floor with a gradient/slope|<ICL> <ACCY> <SURF>|access=yes, access:disabled=yes, incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, wheelchair=yes||Building characteristics|Floor (pathway)|slope [5]|gradient, wheelchair access|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
angular aperture of a directed light source is 45°|<LIGHT>|light:aperture=45|||||||
arc lamp|<LIGHT>|light:method=arc|||||||
lit at night|<LIGHT>|lit=yes|||||||
lit both night and day|<LIGHT>|lit=24/7|||||||
broad beam light used to illuminate a structure or area|<LIGHT>|light:category=flood|||||||
colour of the emitted light|<LIGHT>|light:colour=red|||||||
colour of the emitted light blue|<LIGHT>|light:colour=blue|||||||
colour of the emitted light is green|<LIGHT>|light:colour=green|||||||
colour of the emitted light is white|<LIGHT>|light:colour=white|||||||
colour of the emitted light is yellow|<LIGHT>|light:colour=yellow|||||||
colour temperature describes the spectrum of a light source|<LIGHT>|light:colour=5600 K|||||||
cylindrical light source distributes its light around a rotation axis|<LIGHT>|light:shape=cylindrical|||||||
directed light source emits light mostly in one direction|<LIGHT>|light:shape=directed|||||||
directed light source emits most of its light eastwards|<LIGHT>|light:direction=E|||||||
directed light source emits most of its light northwards|<LIGHT>|light:direction=N|||||||
directed light source emits most of its light southwards|<LIGHT>|light:direction=S|||||||
directed light source emits most of its light westwards|<LIGHT>|light:direction=W|||||||
electric lamp|<LIGHT>|lamp_type=electric|||||||
electric light source|<LIGHT>|light:method=electric|||||||
electrical power (measured in Watt) of this light source|<LIGHT>|light:power=100|||||||
floodlight is a broad-beamed, high intensity artificial light|<LIGHT>|light_source=floodlight|||||||
floor (pathway) illumination|<LIGHT>|light=yes, light:aperture=45, light:category=aero, light:category=air_obstruction, light:category=bearing, light:category=directional, light:category=emergency, light:category=flood, light:category=fog_detector, light:category=front, light:category=horizontally_disposed, light:category=leading, light:category=lower, light:category=moire, light:category=rear, light:category=spotlight, light:category=strip, light:category=subsidiary, light:category=upper, light:category=vertical_disposed, light:colour=blue, light:colour=green, light:colour=red, light:colour=white, light:colour=yellow, light:colour=user defined, light:count=user defined, light:direction=E, light:direction=N, light:direction=S, light:direction=to_street, light:direction=to_crossing, light:direction=W, light:flames=user defined, light:flash=no, light:flash=pattern, light:flash=random, light:flash=yes, light:flash=user defined, light:flux=user defined, light:height=user defined, light:lit=demand, light:lit=motion, light:lit=user defined, light:method=arc, light:method=discharge, light:method=electric, light:method=fluorescent, light:method=gas, light:method=halogen, light:method=high_pressure_sodium, light:method=incandescent, light:method=laser, light:method=LED, light:method=low_pressure_sodium, light:method=mercury, light:method=metal-halide, light:method=neon, light:method=sodium, light:power=user defined, light:shape=cylindrical, light:shape=directed, light:shape=spherical, light:status=not in use, light:status=occasional, light:status=permanent, light:status=recommended, light:tilt=-90, light:tilt=0, light:tilt=90, light:tilt=user defined, light_source=lantern, light_source=floodlight, light_source=aviation, light_source=warning, light_source=signal_lamp, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|illumination|||
floor (pathway) illumination is natural / artificial / motion detector / light switch|<LIGHT>|light:lit=demand, light:lit=motion, light:method=gas, light:method=electric, light:method=incandescent, light:method=halogen, light:method=discharge, light:method=metal-halide, light:method=neon, light:method=sodium, light:method=high_pressure_sodium, light:method=low_pressure_sodium, light:method=fluorescent, light:method=mercury, light:method=LED, light:method=laser, light:method=arc, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|illumination|natural / artificial / motion detector / light switch||
fluorescent lamp|<LIGHT>|lamp_type=fluorescent|||||||
fluorescent light|<LIGHT>|light:method=fluorescent|||||||
gas light|<LIGHT>|light:method=gas|||||||
gas light has 1 flame|<LIGHT>|light:flames=1|||||||
gas-discharge lamp|<LIGHT>|light:method=discharge|||||||
gaslight lamp|<LIGHT>|lamp_type=gaslight|||||||
group of lights of identical character and almost identical position, that are disposed horizontally|<LIGHT>|light:category=horizontally_disposed|||||||
group of lights of identical character and almost identical position, that are disposed vertically|<LIGHT>|light:category=vertically_disposed|||||||
halogen lamp|<LIGHT>|light:method=halogen|||||||
height of the light source above ground in meter|<LIGHT>|light:height=2|||||||
hexadecimal colour of the emitted light is #ff0080|<LIGHT>|light:colour=#ff0080|||||||
high pressure sodium lamp|<LIGHT>|lamp_type=high_pressure_sodium|||||||
high pressure sodium-vapor lamp|<LIGHT>|light:method=high_pressure_sodium|||||||
incandescent lamp|<LIGHT>|light:method=incandescent|||||||
lamp|<LIGHT>|lamp_type=electric, lamp_type=fluorescent, lamp_type=gaslight, floodlight, lamp_type=gaslight, lamp_type=high_pressure_sodium, lamp_type=LED, lamp_type=low_pressure_sodium, lamp_type=sodium, light=yes, lit=yes|lamp=yes|General building information|Light|type [10]|lamp||
lamp is lit every day from 20:00 to 08:00|<LIGHT>|light:lit=20:00-08:00|||||||
laser|<LIGHT>|light:method=laser|||||||
leading lights to describe the position of the light on the lead as viewed from seaward|<LIGHT>|light:category=front, light:category=lower, ligth:category=rear, light:category=upper|||||||
LED|<LIGHT>|lamp_type=LED|||||||
light associated with other lights so as to form a leading line to be followed|<LIGHT>|light:category=leading|||||||
light available as a backup to a main light which will be illuminated should the main light fail|<LIGHT>|light:category=emergency|||||||
light bulb|<LIGHT>|bulb=no, bulb=yes||General building information|Light|type [10]|light bulb||
light emitting diode|<LIGHT>|light:method=LED|||||||
light gets reflected in room / venue / office|<LIGHT>|water=reflecting_pool|light=reflected|General help for orientation / Technical assistance|Rooms / venues / offices|lighting|reflecting||
light illuminating a sector of very narrow angle and intended to mark a direction to follow|<LIGHT>|light:category=directional|||||||
light is not in use|<LIGHT>|light:status=not in use|||||||
light is recommended|<LIGHT>|light:status=recommended|||||||
light marking an obstacle which constitutes a danger to air navigation|<LIGHT>|light:category=air_obstruction|||||||
light placed on or near the support of a main light and having a special use in navigation|<LIGHT>|light:category=subsidiary|||||||
light source|<LIGHT>|light_source=aviation/floodlight/lantern/signal_lamp/warning etc.||General building information|Light|type [10]|source||
light source emits light downwards|<LIGHT>|light:tilt=-90|||||||
light source emits light horizontally|<LIGHT>|light:tilt=0|||||||
light source emits light upwards|<LIGHT>|light:tilt=90|||||||
light source flashes in a repeating pattern; 0.5 seconds on, 2.0 seconds off in a 2 seconds, 0.5 seconds on,1 second off|<LIGHT>|light:flash=0.5,2,0.5,1|||||||
light source flashes randomly|<LIGHT>|light:flash=random|||||||
light source flashes regularly in a 2 seconds period|<LIGHT>|light:flash=2|||||||
light source is flashing|<LIGHT>|light:flash=yes|||||||EquipmentProperties#disruptionSourceImportId
light source is flashing in a repeating pattern|<LIGHT>|light:flash=pattern|||||||
light source is lit from dusk to dawn|<LIGHT>|light:lit=dusk-dawn|||||||
light source is lit from dusk to dawn, but on workdays it is switched off between midnight and 04:00|<LIGHT>|light:lit=Mo-Fr dusk-00:00,04:00-dawn; Sa-Su dusk-dawn|||||||
light source is not flashing|<LIGHT>|light:flash=no|||||||
light source is switched on and off exactly at sunset and sunrise|<LIGHT>|light:lit=sunset-sunrise|||||||
light source is switched on by a motion sensor|<LIGHT>|light:lit=motion|||||||
light source is switched on by demand|<LIGHT>|light:lit=demand|||||||
light source whose purpose is to illuminate broad areas|<LIGHT>|light_source=lantern|||||||
light switch location|<LIGHT>|heighth=user defined, length=user defined, width=user defined|light_switch=yes|General building information|Light|switch location|||
light switches|<LIGHT>||light_switch=user defined, ligth_switch=yes|General help for orientation / Technical assistance|Technology|controls|light switches||
light which enables its approximate bearing to be obtained without the use of a compass|<LIGHT>|light:category=bearing|||||||
lighting of rooms / venues / offices|<LIGHT>|light=yes, indoor=room, room=office, visual:condition=good, visual:condition=poor, visual:condition=fair, visual:condition=average||General help for orientation / Technical assistance|Rooms / venues / offices|lighting|||
lights are on at the given time|<LIGHT>|lit=Mo - Fr 08:00 - 17:30 |||||||
